,Year,Sex,Fatal Y/N,Country,Type
286,2022,m,n,USA,UNPROVOKED
287,2022,f,y,USA,UNPROVOKED
288,2022,m,n,USA,UNPROVOKED
289,2022,f,n,USA,UNPROVOKED
290,2022,f,n,USA,UNPROVOKED
291,2022,m,n,USA,PROVOKED
292,2022,m,n,USA,UNPROVOKED
293,2022,m,n,USA,SEA DISASTER
294,2022,m,n,BAHAMAS,UNPROVOKED
295,2022,m,n,USA,PROVOKED
296,2022,m,n,USA,UNPROVOKED
297,2022,m,n,AUSTRALIA,UNPROVOKED
298,2022,m,n,USA,PROVOKED
299,2022,m,n,USA,UNPROVOKED
300,2022,m,n,AUSTRALIA,UNPROVOKED
301,2022,m,n,AUSTRALIA,UNPROVOKED
302,2022,m,n,USA,UNPROVOKED
303,2022,f,y,SOUTH AFRICA,UNPROVOKED
304,2022,m,n,USA,UNPROVOKED
305,2022,f,y,BAHAMAS,UNPROVOKED
306,2022,f,n,USA,UNPROVOKED
307,2022,m,n,AUSTRALIA,UNPROVOKED
308,2022,m,n,AUSTRALIA,UNPROVOKED
309,2022,f,n,USA,UNPROVOKED
310,2022,f,n,USA,UNPROVOKED
311,2022,m,n,AUSTRALIA,UNPROVOKED
312,2022,m,n,USA,UNPROVOKED
313,2022,m,n,USA,UNPROVOKED
314,2022,f,n,ENGLAND,UNPROVOKED
315,2022,m,n,USA,UNPROVOKED
316,2022,m,n,USA,UNPROVOKED
317,2022,m,n,USA,UNPROVOKED
319,2022,f,n,USA,UNPROVOKED
320,2022,m,n,USA,PROVOKED
321,2022,f,n,USA,UNPROVOKED
322,2022,m,n,USA,UNPROVOKED
323,2022,m,n,USA,UNPROVOKED
324,2022,m,n,USA,UNPROVOKED
325,2022,m,n,USA,UNPROVOKED
326,2022,m,y,JAPAN,UNPROVOKED
327,2022,m,n,USA,UNPROVOKED
328,2022,m,n,USA,UNPROVOKED
329,2022,f,n,INDONESIA,UNPROVOKED
330,2022,f,y,EGYPT,UNPROVOKED
331,2022,f,y,EGYPT,UNPROVOKED
332,2022,m,n,USA,UNPROVOKED
333,2022,f,n,USA,UNPROVOKED
334,2022,f,n,USA,UNPROVOKED
335,2022,m,n,USA,UNPROVOKED
336,2022,m,y,SOUTH AFRICA,UNPROVOKED
337,2022,m,n,JAMAICA,UNPROVOKED
338,2022,f,n,USA,UNPROVOKED
